,Essential_Reactions
0,HMR_9040
1,HMR_2232
2,HMR_2213
3,HMR_9068
4,HMR_2240
5,HMR_2260
6,HMR_2621
7,HMR_3233
8,HMR_2205
9,HMR_2499
10,HMR_9064
11,HMR_0237
12,HMR_2243
13,HMR_2236
14,HMR_2218
15,HMR_0349
16,HMR_2230
17,HMR_0397
18,HMR_0627
19,HMR_9035
20,HMR_2201
21,HMR_5534
22,HMR_2364
23,HMR_2604
24,HMR_2362
25,HMR_2334
26,HMR_2251
27,HMR_9039
28,HMR_2227
29,HMR_2204
30,HMR_2393
31,HMR_2239
32,HMR_2211
33,HMR_2434
34,HMR_2257
35,HMR_2401
36,HMR_9036
37,HMR_0741
38,HMR_0592
39,HMR_2231
40,HMR_2267
41,HMR_2535
42,HMR_9066
43,HMR_4628
44,HMR_2229
45,HMR_2151
46,HMR_4680
47,HMR_4020
48,HMR_2363
49,HMR_2245
50,HMR_9044
51,HMR_2609
52,HMR_6916
53,HMR_4343
54,HMR_4158
55,HMR_4642
56,HMR_9042
57,HMR_2235
58,HMR_0396
59,HMR_4300
60,HMR_2219
61,HMR_2344
62,HMR_9043
63,HMR_4644
64,HMR_9065
65,FAEL183
66,HMR_2265
67,HMR_2289
68,HMR_2247
69,HMR_2345
70,HMR_9046
71,HMR_2258
72,HMR_2208
73,HMR_2540
74,HMR_3232
75,HMR_2261
76,HMR_2436
77,HMR_2435
78,HMR_2259
79,HMR_2541
80,VBOF
81,HMR_2537
82,HMR_2281
83,HMR_2210
84,HMR_0638
85,HMR_2266
86,HMR_2501
87,HMR_2268
88,HMR_2262
89,HMR_2543
90,HMR_2610
91,HMR_2241
92,HMR_2203
93,HMR_2215
94,HMR_2270
95,HMR_9072
96,HMR_2503
97,HMR_2403
98,HMR_2255
99,HMR_9063
100,HMR_1572
101,HMR_5533
102,HMR_8410
103,HMR_2252
104,C161CPT12
105,HMR_0738
106,HMR_2343
107,HMR_2250
108,HMR_4332
109,HMR_9048
110,HMR_2242
111,HMR_0597
112,HMR_2228
113,HMR_9038
114,HMR_2350
115,HMR_2233
116,HMR_0348
117,HMR_8219
118,HMR_2359
119,HMR_2246
120,HMR_9423
121,HMR_4896
122,HMR_5071
123,HMR_2237
124,HMR_2365
125,HMR_2269
126,HMR_2348
127,HMR_2433
128,HMR_2342
129,HMR_2336
130,HMR_1440
131,HMR_2256
132,HMR_7588
133,HMR_2361
134,HMR_2249
135,HMR_2288
136,HMR_5068
137,CYOOm3i
138,EX_VBOF
139,HMR_2347
140,HMR_4631
141,HMR_2293
142,HMR_2497
143,HMR_2296
144,HMR_2202
145,HMR_7591
146,HMR_9041
147,HMR_2530
148,HMR_10036
149,HMR_2505
150,HMR_2338
151,HMR_9045
152,HMR_2244
153,HMR_0625
154,HMR_2234
155,HMR_3956
156,HMR_2630
157,HMR_3230
158,HMR_2264
159,HMR_2214
160,HMR_0607
161,HMR_2354
162,HMR_2209
163,HMR_2212
164,HMR_2353
165,HMR_2349
166,HMR_2332
167,HMR_2542
168,HMR_3231
169,HMR_2603
170,HMR_2263
171,HMR_2399
172,HMR_2238
173,HMR_1558
174,HMR_2254
175,HMR_5034
176,HMR_2217
177,HMR_2622
178,HMR_0610
179,HMR_0753
180,HMR_2533
181,r0941
182,HMR_2629
183,HMR_2356
184,HMR_2355
185,HMR_5078
