,Reaction 1,Reaction 2,fba_simulation
0,HMR_6912,HMR_5043,2.0359220115642405
1,HMR_4519,HMR_4040,2.0359220115642405
2,HMR_4338,HMR_8758,2.0359220115642405
3,HMR_4262,HMR_4085,2.0359220115642405
4,HMR_2389,HMR_2472,2.0359220115642405
5,r1433,HMR_4354,2.0359220115642405
6,r1433,HMR_4352,2.0359220115642405
7,HMR_4054,DTMPKm,2.0359220115642405
8,HMR_4265,HMR_4085,2.0359220115642405
9,HMR_4054,HMR_4483,2.0359220115642396
10,HMR_8791,HMR_4085,2.0359220115642405
11,HMR_4054,r1433,2.0359220115642334
12,HMR_3877,HMR_0636,2.0204756211737394
13,HMR_2607,HMR_0192,2.0359220115642405
14,HMR_0192,HMR_3183,2.0359220115642405
15,HMR_2326,HMR_0192,2.0359220115637777
16,HMR_3877,HMR_0589,2.0359220115642405
17,HMR_0636,HMR_4839,2.0359220115623886
18,C181CPT1,RE3243R,2.0359220115642405
19,HMR_0636,HMR_4838,2.0359220115642405
20,HMR_2190,HMR_2295,2.035922011564472
21,HMR_0589,HMR_0622,2.0359220115642405
22,HMR_0636,HMR_0622,2.0359220115642405
23,HMR_4627,HMR_0636,2.0359220115642405
24,HMR_0192,HMR_3182,2.0359220115641246
25,HMR_0590,HMR_0589,2.0359220115734913
26,HMR_2328,HMR_8767,2.03592201156424
27,HMR_0623,HMR_0622,2.0359220115642405
28,HMR_2328,HMR_3545,2.0359220115642405
29,HMR_3545,HMR_2330,2.0359220115642405
30,HMR_2635,HMR_3229,2.0359220115642405
31,HMR_0590,HMR_0623,2.0359220115637777
32,HMR_2635,HMR_3228,2.0359220115637777
33,FAOXC180,HMR_3115,2.0359220115637777
34,HMR_3545,HMR_2326,2.0359220115637777
35,HMR_3545,HMR_2620,2.0359220115637777
36,HMR_2602,HMR_3545,2.0359220115637777
37,HMR_0648,HMR_0636,2.0359220115642405
38,HMR_3545,HMR_2324,2.0359220115642405
39,HMR_0589,PCHOLPm_hs,2.0359220115642405
40,HMR_0648,HMR_0589,2.0359220115642405
41,HMR_2635,HMR_3227,2.0359220115642405
42,HMR_2635,HMR_3226,2.0359220115642405
43,HMR_0623,HMR_0648,2.0359220115642405
44,HMR_3545,HMR_2633,2.0359220115642405
45,HMR_2633,HMR_8767,2.0359220115642405
46,HMR_2602,HMR_8767,2.0359220115642405
47,HMR_2383,RE3147R,2.0359220115642405
48,RE3147R,HMR_2387,2.0359220115642405
