,Essential_Reactions
0,HMR_2343
1,HMR_2350
2,HMR_0348
3,HMR_5071
4,HMR_2361
5,HMR_0736
6,HMR_2363
7,HMR_2235
8,HMR_2344
9,HMR_9043
10,HMR_9065
11,HMR_2345
12,HMR_9046
13,HMR_2436
14,HMR_2543
15,HMR_2505
16,HMR_2264
17,HMR_2354
18,HMR_2399
19,HMR_0610
20,HMR_2356
21,HMR_9040
22,HMR_2240
23,HMR_2499
24,HMR_2434
25,HMR_2535
26,HMR_4628
27,HMR_4020
28,HMR_2255
29,HMR_2250
30,HMR_0597
31,HMR_9038
32,HMR_2233
33,HMR_2246
34,HMR_4896
35,HMR_2342
36,HMR_2336
37,HMR_2256
38,EX_VBOF
39,HMR_2245
40,HMR_0396
41,HMR_2634
42,FAEL183
43,HMR_2265
44,HMR_2258
45,HMR_2540
46,HMR_2501
47,HMR_2203
48,HMR_2244
49,HMR_0625
50,HMR_9061
51,HMR_2214
52,HMR_2209
53,HMR_2353
54,HMR_2217
55,HMR_2533
56,HMR_2213
57,HMR_9068
58,HMR_9064
59,HMR_2236
60,HMR_2364
61,HMR_2362
62,HMR_2227
63,HMR_2204
64,HMR_2239
65,HMR_2267
66,HMR_5533
67,HMR_2252
68,HMR_0738
69,HMR_9048
70,HMR_2228
71,HMR_2237
72,HMR_2269
73,HMR_2249
74,HMR_2347
75,HMR_9044
76,HMR_4158
77,HMR_2541
78,HMR_2262
79,HMR_2241
80,HMR_6384
81,HMR_2293
82,HMR_2202
83,HMR_9045
84,HMR_2212
85,HMR_2349
86,HMR_2542
87,HMR_2238
88,r0941
89,HMR_5475
90,HMR_2355
91,HMR_2232
92,HMR_2260
93,HMR_0237
94,HMR_2243
95,HMR_2218
96,HMR_2201
97,HMR_2334
98,HMR_2257
99,HMR_2401
100,HMR_9036
101,HMR_2229
102,HMR_2151
103,HMR_9072
104,HMR_2503
105,HMR_2403
106,HMR_2242
107,HMR_2365
108,HMR_2348
109,HMR_2433
110,HMR_2288
111,HMR_4631
112,HMR_9042
113,HMR_4300
114,HMR_2219
115,HMR_2289
116,HMR_2247
117,HMR_2208
118,HMR_4040
119,HMR_2261
120,HMR_2435
121,HMR_2259
122,VBOF
123,HMR_2537
124,HMR_2210
125,HMR_0638
126,HMR_2266
127,HMR_2268
128,HMR_2215
129,HMR_2270
130,HMR_2497
131,HMR_2296
132,HMR_9041
133,HMR_2530
134,HMR_2338
135,HMR_2234
136,HMR_3956
137,HMR_2332
138,HMR_2263
139,HMR_2254
140,HMR_2205
141,HMR_2230
142,HMR_9035
143,HMR_2251
144,HMR_9039
145,HMR_2211
146,HMR_0741
147,HMR_0592
148,HMR_2231
