,Reaction 1,Reaction2
0,HMR_7717,HMR_4036
1,RE0456M,HMR_4577
2,HMR_7717,HMR_4608
3,HMR_4034,HMR_7717
4,HMR_7717,HMR_4050
5,HMR_4577,HMR_4673
6,HMR_4608,HMR_4673
7,HMR_4036,HMR_5352
8,HMR_4034,HMR_4673
9,HMR_5352,HMR_4577
10,HMR_7883,HMR_4050
11,HMR_7591,HMR_10035
12,HMR_4034,RE0456M
13,RE0456M,HMR_4608
14,HMR_7875,HMR_4577
15,HMR_7875,HMR_4608
16,HMR_7883,HMR_4577
17,HMR_7883,HMR_4036
18,HMR_7883,HMR_4608
19,HMR_4644,HMR_4050
20,HMR_4050,HMR_4673
21,RE0456M,HMR_4050
22,HMR_4034,HMR_7875
23,HMR_5352,HMR_4608
24,HMR_7875,HMR_4050
25,HMR_4483,HMR_4050
26,HMR_4083,HMR_4050
27,r1433,HMR_4050
28,HMR_4483,HMR_4577
29,HMR_4034,HMR_4675
30,HMR_4050,HMR_4675
31,HMR_4036,HMR_4673
32,HMR_4036,RE0456M
33,HMR_4644,HMR_4577
34,HMR_4644,HMR_4036
35,r1433,HMR_4036
36,HMR_4083,HMR_4577
37,HMR_4036,HMR_7875
38,HMR_5352,HMR_4050
39,HMR_4034,HMR_5352
40,HMR_4034,r1433
41,HMR_4034,HMR_7883
42,HMR_4034,HMR_4083
43,HMR_4799,HMR_4418
44,HMR_0589,HMR_3875
45,HMR_4644,HMR_4608
46,r1433,HMR_4577
47,HMR_4802,HMR_4418
48,r1433,HMR_4608
49,HMR_4034,HMR_4483
50,HMR_4483,HMR_4608
51,HMR_4608,HMR_4675
52,HMR_4034,HMR_4644
53,HMR_4812,HMR_4418
54,HMR_4036,HMR_4675
55,HMR_4804,HMR_4418
56,HMR_4406,HMR_4418
57,HMR_4814,HMR_4418
58,HMR_4194,HMR_4032
59,HMR_0589,HMR_3849
60,HMR_0636,HMR_3875
61,HMR_4418,HMR_4808
62,HMR_2493,RE3121R
63,RE3121R,HMR_2489
64,HMR_2491,RE3121R
65,HMR_2486,RE3121R
66,HMR_4418,HMR_4810
67,HMR_0502,HMR_7591
68,HMR_7591,HMR_0493
69,HMR_7591,HMR_0534
70,HMR_7591,HMR_0523
71,HMR_7591,HMR_0526
72,HMR_7591,HMR_0490
73,HMR_0538,HMR_7591
74,HMR_0541,HMR_7591
75,HMR_7591,HMR_0522
76,HMR_7591,HMR_0487
77,HMR_7591,HMR_0499
78,HMR_7591,HMR_0535
79,HMR_7591,HMR_0486
80,HMR_7591,HMR_0524
81,HMR_7591,HMR_0536
82,HMR_7591,HMR_0489
83,HMR_7591,HMR_0537
84,HMR_7591,HMR_0488
85,HMR_7591,HMR_0520
86,HMR_7591,HMR_0509
87,HMR_7591,HMR_0532
88,HMR_7591,HMR_0510
89,HMR_7591,HMR_0519
90,HMR_0507,HMR_7591
91,HMR_7591,HMR_0544
92,HMR_4036,HMR_3968
93,HMR_0531,HMR_7591
94,HMR_7591,HMR_0543
