,Reaction 1,Reaction 2,fba_simulation
0,HMR_7717,HMR_4036,2.035922011564244
1,RE0456M,HMR_4577,2.035922011564244
2,HMR_4577,HMR_4673,2.0359220115642405
3,HMR_4036,HMR_5352,2.0359220115642405
4,HMR_5352,HMR_4577,2.0359220115637777
5,HMR_7875,HMR_4577,2.0359220115637777
6,HMR_7883,HMR_4577,2.0359220115637777
7,HMR_7883,HMR_4036,2.0359220115637777
8,HMR_4483,HMR_4577,2.035922011567714
9,HMR_4036,HMR_4673,2.0359220115949896
10,HMR_4036,RE0456M,2.0359220115949896
11,r1433,HMR_4036,2.0359220115642405
12,HMR_4083,HMR_4577,2.0359220115642405
13,HMR_4036,HMR_7875,2.0359220115642405
14,HMR_4799,HMR_4418,2.035922011565833
15,r1433,HMR_4577,2.03592201156424
16,HMR_4802,HMR_4418,2.0359220115642405
17,HMR_4812,HMR_4418,2.0359220115642405
18,HMR_4036,HMR_4675,2.0359220115642405
19,HMR_4804,HMR_4418,2.0359220115642405
20,HMR_4406,HMR_4418,2.0359220115642405
21,HMR_4814,HMR_4418,2.0359220115642405
22,HMR_0589,HMR_3849,2.0359220115642405
23,HMR_4418,HMR_4808,2.0359220115693324
24,HMR_2493,RE3121R,2.0359220115642405
25,RE3121R,HMR_2489,2.0359220115642405
26,HMR_2491,RE3121R,2.0359220115642405
27,HMR_2486,RE3121R,2.0359220115642405
28,HMR_4418,HMR_4810,2.0359220115642405
29,HMR_4036,HMR_3968,2.0359220115637777
30,HMR_4083,HMR_4036,2.0359220115642405
31,HMR_0746,HMR_10036,2.0359220115637773
32,HMR_4036,HMR_4483,2.0359220115637773
33,HMR_0746,HMR_0397,2.0359220115642405
34,HMR_0746,HMR_0349,2.0359220115642405
35,HMR_0746,HMR_0267,2.0359220116012735
36,HMR_2164,HMR_2610,2.0359220115642405
37,HMR_3574,HMR_2633,2.0359220115623886
38,HMR_0192,HMR_3184,2.0359220115623886
39,HMR_2178,HMR_2654,2.0359220115637777
40,r1253,HMR_2174,2.0359220115637777
41,RE3122R,HMR_2493,2.0359220115637777
42,HMR_2493,RE3120R,2.0359220115637777
43,HMR_2493,RE3119R,2.0359220115637777
44,HMR_2599,HMR_2489,2.03592201156424
45,HMR_2493,HMR_2599,2.0359220115642405
46,HMR_2654,HMR_2159,2.0359220115637777
47,HMR_0781,HMR_0349,2.035922011564237
48,HMR_0636,HMR_4839,2.0359220115637777
49,HMR_0636,HMR_0622,2.0359220115637777
50,HMR_3227,C161CPT22,2.0359220115637777
51,HMR_2610,HMR_2159,2.0359220115637777
52,HMR_2159,HMR_2819,2.0359220115637777
53,r1253,r1316,2.0359220115637777
54,HMR_2164,HMR_2654,2.0359220115637777
55,HMR_2284,HMR_3574,2.0359220115637777
56,r1253,HMR_2176,2.0359220115637777
57,r1253,HMR_2161,2.0359220115637777
58,r1253,HMR_2181,2.0359220115637777
59,HMR_10037,HMR_0397,2.035922011563776
60,HMR_2475,HMR_2599,2.0359220115637777
61,HMR_2174,HMR_2654,2.035922011595487
62,HMR_3663,HMR_2633,2.035922011595487
63,HMR_4038,HMR_4418,2.035922011564934
64,r1253,HMR_2168,2.0359220115642405
65,r1253,HMR_2171,2.0359220115642405
66,HMR_3574,HMR_2282,2.0359220115642693
67,HMR_3663,HMR_0267,2.0359220115642693
68,r1253,HMR_2180,2.0359220115642405
69,HMR_10037,FACOAL1813,2.0359220115642405
70,HMR_2610,HMR_2155,2.0359220115642405
71,HMR_2599,HMR_2482,2.0359220115642405
72,RE3244R,HMR_2294,2.0359220115642405
73,HMR_2282,HMR_3587,2.0359220115642405
74,HMR_2901,HMR_2426,2.0359220115630117
75,HMR_3641,HMR_2284,2.0359220115637777
76,HMR_2166,r1253,2.035922011556834
77,HMR_1451,HMR_4630,2.0359220115693324
78,HMR_2610,HMR_2158,2.0359220115637777
79,HMR_4806,HMR_4418,2.0359220115651664
80,FACOAL1813,HMR_3587,2.0359220115651664
81,HMR_2604,HMR_2153,2.0359220115651664
82,HMR_0636,HMR_4838,2.0359220115644723
83,HMR_2654,HMR_2155,2.0359220115644723
84,HMR_2785,HMR_2493,2.0359220115644723
85,r1253,HMR_2155,2.0359220115642405
86,r1253,HMR_2159,2.0359220115642405
87,HMR_10037,HMR_2282,2.0359220115642405
88,HMR_3576,HMR_0349,2.0359220115642405
89,HMR_4699,HMR_0589,2.0359220115637777
90,HMR_3576,HMR_0267,2.035922011563777
91,HMR_10037,HMR_0267,2.0359220115642405
92,HMR_3663,FACOAL1813,2.0359220115642405
93,HMR_3540,FACOAL1813,2.0359220115642405
94,HMR_10037,HMR_0349,2.0359220115642405
