,Essential_Reactions
0,HMR_5324
1,HMR_2293
2,HMR_3984
3,HMR_0489
4,HMR_2497
5,HMR_2296
6,HMR_2202
7,FAOXC180x
8,HMR_0508
9,HMR_9041
10,HMR_2530
11,HMR_2505
12,HMR_2515
13,HMR_2338
14,HMR_0516
15,HMR_9045
16,HMR_2244
17,HMR_0625
18,HMR_2472
19,HMR_2234
20,HMR_3956
21,HMR_2287
22,STCOAtx
23,HMR_2264
24,HMR_2214
25,HMR_0531
26,DESAT18_3
27,HMR_2374
28,HMR_0514
29,HMR_2354
30,HMR_2326
31,HMR_2482
32,HMR_2209
33,HMR_9083
34,HMR_2212
35,HMR_2353
36,HMR_0590
37,HMR_2305
38,HMR_2349
39,HMR_0511
40,HMR_2332
41,HMR_2542
42,HMR_2603
43,HMR_2263
44,HMR_2399
45,HMR_2238
46,HMR_0512
47,HMR_0515
48,HMR_5535
49,HMR_2423
50,HMR_2491
51,HMR_0496
52,HMR_2254
53,HMR_5034
54,HMR_2217
55,HMR_0504
56,HMR_0610
57,HMR_2533
58,HMR_2516
59,HMR_2426
60,r0941
61,PMTCOAtx
62,HMR_2526
63,HMR_3106
64,HMR_0539
65,HMR_2307
66,HMR_2356
67,HMR_2817
68,HMR_2383
69,HMR_0542
70,HMR_2292
71,HMR_2355
72,HMR_0543
73,HMR_2819
74,HMR_2524
75,HMR_2862
76,HMR_2489
77,HMR_2282
78,HMR_9072
79,HMR_2503
80,HMR_0521
81,HMR_0517
82,HMR_0535
83,HMR_2403
84,HMR_2428
85,HMR_0488
86,HMR_2255
87,r1186
88,HMR_2389
89,HMR_1572
90,HMR_2309
91,HMR_2252
92,HMR_0738
93,HMR_2343
94,HMR_0532
95,HMR_2250
96,HMR_9048
97,HMR_2242
98,HMR_6912
99,HMR_0498
100,HMR_2608
101,HMR_0597
102,HMR_2228
103,HMR_9038
104,HMR_2419
105,HMR_2430
106,HMR_2350
107,HMR_2233
108,HMR_0348
109,HMR_2324
110,HMR_8219
111,HMR_0495
112,HMR_2359
113,HMR_0491
114,HMR_2475
115,HMR_2246
116,HMR_2415
117,HMR_9423
118,HMR_0510
119,HMR_4896
120,HMR_5071
121,HMR_2237
122,HMR_2365
123,HMR_2269
124,HMR_2982
125,HMR_2348
126,HMR_2433
127,HMR_5414
128,HMR_4962
129,HMR_0622
130,HMR_6918
131,HMR_2342
132,r1253
133,HMR_0527
134,HMR_2336
135,HMR_1440
136,HMR_0598
137,HMR_2376
138,HMR_2480
139,HMR_2256
140,HMR_2361
141,HMR_2249
142,HMR_2288
143,HMR_9062
144,CYOOm3i
145,HMR_0519
146,HMR_0518
147,EX_VBOF
148,HMR_2347
149,HMR_4631
150,HMR_0509
151,HMR_9040
152,HMR_2654
153,HMR_2232
154,HMR_2213
155,HMR_9068
156,HMR_2240
157,HMR_2260
158,HMR_2315
159,HMR_0524
160,HMR_0520
161,HMR_2205
162,HMR_2499
163,HMR_9064
164,HMR_4887
165,HMR_0237
166,HMR_0529
167,HMR_2321
168,HMR_0636
169,HMR_2243
170,HMR_2236
171,HMR_2218
172,HMR_0349
173,HMR_2371
174,HMR_0522
175,HMR_2230
176,HMR_0503
177,HMR_2417
178,HMR_2528
179,HMR_0627
180,HMR_9035
181,HMR_2201
182,HMR_5534
183,HMR_2364
184,HMR_0513
185,HMR_2604
186,HMR_0497
187,HMR_2362
188,HMR_2334
189,HMR_2493
190,HMR_2251
191,HMR_9039
192,HMR_0525
193,HMR_2227
194,HMR_2204
195,HMR_2393
196,HMR_2486
197,HMR_2239
198,HMR_0499
199,HMR_0506
200,HMR_0523
201,HMR_0492
202,HMR_2211
203,HMR_2434
204,HMR_0538
205,HMR_2257
206,HMR_2401
207,HMR_9036
208,HMR_0741
209,HMR_0592
210,HMR_0481
211,HMR_2231
212,HMR_2267
213,HMR_2535
214,HMR_9066
215,HMR_4628
216,HMR_2229
217,HMR_2151
218,HMR_4680
219,HMR_4020
220,HMR_2311
221,HMR_0537
222,HMR_0505
223,RE3147C
224,HMR_0533
225,HMR_2518
226,HMR_4054
227,HMR_0736
228,HMR_2363
229,HMR_2245
230,HMR_2284
231,HMR_9044
232,HMR_2319
233,HMR_2328
234,HMR_2609
235,HMR_6916
236,HMR_4343
237,HMR_0501
238,HMR_0541
239,HMR_4158
240,HMR_10035
241,HMR_4642
242,HMR_0528
243,HMR_9042
244,HMR_0493
245,HMR_2235
246,HMR_4300
247,HMR_0502
248,HMR_4954
249,HMR_2219
250,HMR_2344
251,HMR_0540
252,HMR_0614
253,HMR_0486
254,HMR_9043
255,HMR_4644
256,HMR_0500
257,HMR_2522
258,HMR_4898
259,HMR_9065
260,HMR_2317
261,HMR_2265
262,HMR_2289
263,HMR_2247
264,HMR_2345
265,HMR_9046
266,HMR_2258
267,HMR_4900
268,HMR_0534
269,HMR_4046
270,HMR_2208
271,HMR_2540
272,HMR_2261
273,HMR_2861
274,HMR_2436
275,HMR_2435
276,HMR_4393
277,HMR_2714
278,HMR_0536
279,HMR_2421
280,HMR_2259
281,HMR_2541
282,HMR_2391
283,VBOF
284,HMR_2537
285,HMR_2281
286,HMR_5070
287,HMR_2210
288,HMR_0638
289,HMR_2266
290,HMR_2501
291,HMR_0526
292,HMR_2602
293,HMR_0651
294,HMR_2378
295,HMR_0589
296,HMR_2268
297,HMR_2262
298,HMR_2543
299,HMR_2330
300,HMR_0544
301,HMR_0648
302,HMR_2387
303,HMR_2610
304,HMR_2248
305,HMR_0507
306,HMR_2241
307,HMR_2253
308,HMR_0530
309,HMR_2203
310,HMR_2215
311,HMR_0487
312,HMR_2270
313,HMR_2478
314,HMR_2520
315,HMR_0490
