,Reaction 1,Reaction2
0,HMR_8114,HMR_4332
1,HMR_4130,HMR_3944
2,r1433,HMR_4304
3,HMR_4194,HMR_4032
4,HMR_7468,HMR_3944
5,HMR_4265,HMR_4085
6,r1433,HMR_8791
7,r1433,HMR_4265
8,HMR_4623,r1433
9,HMR_4262,HMR_4085
10,r1433,HMR_4262
11,r1433,HMR_4354
12,HMR_8791,HMR_4085
13,HMR_4156,HMR_7673
14,HMR_4664,HMR_4040
15,HMR_8485,HMR_4396
16,HMR_4363,HMR_8410
17,HMR_4396,HMR_8410
18,HMR_8410,HMR_3944
19,HMR_8485,HMR_3944
20,HMR_10036,HMR_0748
21,HMR_0758,HMR_10036
22,HMR_0773,HMR_10036
23,HMR_4326,HMR_8410
24,HMR_0779,HMR_10036
25,HMR_0746,HMR_10036
26,HMR_4373,HMR_8410
27,HMR_8410,UGT1A10r
28,HMR_4121,HMR_3982
29,HMR_4365,HMR_8410
30,HMR_0781,HMR_10036
31,HMR_8130,HMR_4332
32,HMR_4519,HMR_4040
33,HMR_8113,HMR_4332
34,HMR_0753,HMR_10036
35,HMR_8140,HMR_4332
36,HMR_4324,HMR_8410
37,HMR_4335,HMR_4332
38,HMR_8112,HMR_4332
39,HMR_1093,HMR_8410
40,HMR_1470,SQLEr
41,HMR_6396,HMR_8410
42,HMR_7467,HMR_4396
43,HMR_8767,HMR_3944
44,HMR_8410,HMR_4412
45,HMR_0409,HMR_8410
46,HMR_8410,HMR_0983
47,HMR_4156,HMR_7672
48,HMR_0750,HMR_0753
49,HMR_3118,FAOXC180
50,FAOXC16C14m,HMR_3122
51,HMR_3123,FAOXC16C14m
52,DESAT20_1,HMR_2380
53,FAOXC180,HMR_3115
54,HMR_3078,HMR_0226
55,HMR_8485,HMR_4122
56,FAOXC180,HMR_3116
57,DESAT20_2,HMR_2484
58,HMR_3078,r1252
59,HMR_1457,IPDDIx
60,FAOXC16C14m,HMR_3121
61,DESAT16_2,HMR_0748
62,DESAT16_2,HMR_0753
63,HMR_0781,DESAT16_2
64,DESAT16_2,HMR_0773
65,HMR_0409,HMR_0192
66,HMR_0746,DESAT16_2
67,HMR_3078,DESAT16_2
68,HMR_0758,DESAT16_2
69,HMR_0779,DESAT16_2
70,HMR_3117,FAOXC180
71,HMR_3125,FAOXC16C14m
72,HMR_8410,HMR_4122
73,HMR_2656,HMR_3110
74,HMR_2656,HMR_2704
75,HMR_2656,HMR_3109
76,HMR_3112,HMR_2656
77,HMR_2656,HMR_2702
78,HMR_2656,HMR_3114
79,HMR_2656,HMR_3111
80,HMR_8485,HMR_7572
81,HMR_7571,HMR_8485
82,HMR_2656,HMR_3113
83,HMR_1194,HMR_8410
84,HMR_3773,HMR_1573
85,HMR_8485,HMR_7573
86,HMR_2656,HMR_3107
87,HMR_6923,HMR_1573
88,HMR_4130,HMR_4396
89,HMR_2295,HMR_10036
90,HMR_4396,HMR_8767
91,HMR_1460,IPDDIx
92,HMR_2295,HMR_0226
93,DHCR71r,HMR_1516
94,HMR_1013,HMR_8410
95,HMR_0409,HMR_0213
96,HMR_2585,HMR_8410
97,HMR_0409,HMR_2295
98,HMR_8557,HMR_8410
99,HMR_7461,HMR_3944
100,HMR_4358,HMR_8410
101,HMR_4042,HMR_8410
102,HMR_8410,HMR_1010
103,HMR_10036,HMR_0213
104,HMR_0226,HMR_0213
105,HMR_0192,HMR_10036
106,HMR_1000,HMR_8410
107,HMR_8410,HMR_1080
108,UGT1A10c,HMR_8410
109,HMR_0192,HMR_0226
110,HMR_4018,HMR_8410
111,HMR_1081,HMR_8410
112,HMR_1503,DHCR71r
113,DHCR71r,HMR_1504
114,DHCR71r,HMR_1512
115,HMR_1509,DHCR71r
116,HMR_1526,DHCR71r
117,HMR_1484,DHCR71r
118,HMR_1490,DHCR71r
119,HMR_4186,HMR_3944
120,HMR_7466,HMR_3944
121,HMR_7465,HMR_3944
122,HMR_1465,DHCR71r
123,HMR_1467,DHCR71r
124,HMR_4084,HMR_3944
125,HMR_4185,HMR_3944
126,HMR_7467,HMR_3944
127,HMR_1505,DHCR71r
128,HMR_0377,HMR_2295
129,HMR_0259,HMR_2295
130,HMR_0196,HMR_2295
131,HMR_0357,HMR_2295
132,HMR_0365,HMR_2295
133,HMR_0425,HMR_2295
134,HMR_2295,HMR_0413
135,HMR_2295,HMR_0353
136,HMR_0188,HMR_2295
137,HMR_2295,HMR_0209
138,HMR_0361,HMR_2295
139,HMR_2295,HMR_0233
140,HMR_0429,HMR_2295
141,HMR_2295,HMR_0313
142,HMR_0245,HMR_2295
143,HMR_2295,HMR_0271
144,HMR_0433,HMR_2295
145,HMR_2295,HMR_0385
146,HMR_2295,HMR_0417
147,HMR_2295,HMR_0753
148,HMR_2295,HMR_0773
149,HMR_0405,HMR_2295
150,HMR_10033,HMR_2295
151,HMR_1473,DHCR71r
152,HMR_0758,HMR_2295
153,HMR_0781,HMR_2295
154,HMR_1502,r0783
155,HMR_2295,HMR_0748
156,HMR_0779,HMR_2295
157,HMR_2656,HMR_3108
158,HMR_0746,HMR_2295
159,HMR_0264,HMR_2295
160,HMR_1519,DHCR71r
161,HMR_0249,HMR_2295
162,HMR_1454,IPDDIx
163,LNS14DM,DHCR71r
164,HMR_1493,DHCR71r
165,HMR_1494,DHCR71r
166,HMR_1470,DHCR71r
167,HMR_1500,DHCR71r
168,DMATTx,HMR_1454
169,HMR_0361,HMR_0192
170,HMR_0377,HMR_0192
171,HMR_0259,HMR_0192
172,HMR_0196,HMR_0192
173,HMR_0357,HMR_0192
174,HMR_0413,HMR_0192
175,HMR_0365,HMR_0192
176,HMR_0425,HMR_0192
177,HMR_0192,HMR_0353
178,HMR_0192,HMR_0297
179,HMR_0233,HMR_0192
180,HMR_0245,HMR_0192
181,HMR_0192,HMR_0369
182,HMR_0192,HMR_0275
183,HMR_0381,HMR_0192
184,DESAT18_5,HMR_0192
185,HMR_0323,HMR_0192
186,HMR_0192,HMR_0319
187,HMR_0192,HMR_0209
188,HMR_0279,HMR_0192
189,HMR_0192,HMR_0283
190,HMR_0192,FACOAL1813
191,HMR_0421,HMR_0192
192,HMR_0188,HMR_0192
193,HMR_0192,HMR_0327
194,HMR_0779,HMR_0192
195,HMR_0192,HMR_0753
196,HMR_0746,HMR_0192
197,HMR_1451,DPMVDx
198,HMR_0758,HMR_0192
199,HMR_1573,HMR_3770
200,HMR_0264,HMR_0192
201,r0783,HMR_1512
202,LSTO1r,HMR_1512
203,HMR_0405,HMR_0192
204,DHCR71r,HMR_1495
205,HMR_1451,MEVK1x
206,HMR_3775,HMR_1573
207,HMR_0405,HMR_0213
208,HMR_4718,HMR_8410
209,HMR_1502,LSTO1r
210,HMR_10033,HMR_0192
211,HMR_0192,HMR_0748
212,HMR_1312,HMR_8410
213,HMR_1457,DMATTx
214,HMR_0373,HMR_2295
215,HMR_2295,HMR_0204
216,HMR_0393,HMR_2295
217,HMR_2295,HMR_0297
218,HMR_0341,HMR_2295
219,HMR_2295,HMR_0327
220,HMR_0437,HMR_2295
221,HMR_0309,HMR_2295
222,HMR_2295,HMR_0275
223,HMR_2295,HMR_0323
224,HMR_2295,HMR_0283
225,HMR_0345,HMR_2295
226,HMR_1451,PMEVKx
227,HMR_0781,HMR_0192
228,DPMVDx,HMR_1448
229,HMR_1448,PMEVKx
