,Reaction 1,Reaction 2,fba_simulation
0,HMR_8114,HMR_4332,2.0359220115642405
1,HMR_4130,HMR_3944,2.0359220115642405
2,r1433,HMR_4304,2.0359220115642405
3,HMR_7468,HMR_3944,2.0359220115623886
4,HMR_4265,HMR_4085,2.0359220115642405
5,r1433,HMR_8791,2.0359220115642405
6,r1433,HMR_4265,2.0359220115642405
7,HMR_4623,r1433,2.035922011564237
8,HMR_4262,HMR_4085,2.035922011564237
9,r1433,HMR_4262,2.035922011564237
10,r1433,HMR_4354,2.0359220115642405
11,HMR_8791,HMR_4085,2.0359220115642405
12,HMR_4363,HMR_8410,2.035922011562389
13,HMR_8410,HMR_3944,2.0359220115637777
14,HMR_8485,HMR_3944,2.0359220115637777
15,HMR_10036,HMR_0748,2.0359220115637777
16,HMR_0773,HMR_10036,2.035922011564228
17,HMR_0779,HMR_10036,2.0359220115637777
18,HMR_0746,HMR_10036,2.0359220115637777
19,HMR_4373,HMR_8410,2.0359220115642405
20,HMR_8410,UGT1A10r,2.0359220115642405
21,HMR_4121,HMR_3982,2.0359220115642405
22,HMR_4365,HMR_8410,2.0359220115642405
23,HMR_0781,HMR_10036,2.035922011563778
24,HMR_8130,HMR_4332,2.0359220115637773
25,HMR_4519,HMR_4040,2.0359220115642405
26,HMR_8113,HMR_4332,2.0359220115642405
27,HMR_8140,HMR_4332,2.0359220115642405
28,HMR_4335,HMR_4332,2.0359220115637764
29,HMR_8112,HMR_4332,2.0359220115637764
30,HMR_1093,HMR_8410,2.0359220115637764
31,HMR_6396,HMR_8410,2.0359220115637777
32,HMR_0409,HMR_8410,2.0359220115637777
33,HMR_8410,HMR_0983,2.0359220115637777
34,HMR_3118,FAOXC180,2.0359220115642693
35,FAOXC16C14m,HMR_3122,2.0359220115642693
36,HMR_3123,FAOXC16C14m,2.0359220115642693
37,DESAT20_1,HMR_2380,2.0359220115642693
38,FAOXC180,HMR_3115,2.0359220115642693
39,HMR_3078,HMR_0226,2.0359220115642693
40,FAOXC180,HMR_3116,2.0359220115637777
41,DESAT20_2,HMR_2484,2.0359220115637777
42,HMR_3078,r1252,2.0359220115637777
43,FAOXC16C14m,HMR_3121,2.0359220115637777
44,DESAT16_2,HMR_0748,2.0359220115637777
45,DESAT16_2,HMR_0753,2.0359220115637777
46,HMR_0781,DESAT16_2,2.0359220115637777
47,DESAT16_2,HMR_0773,2.0359220115637777
