,Essential_Reactions
0,HMR_2293
1,HMR_2497
2,HMR_2202
3,HMR_7591
4,HMR_9041
5,HMR_2633
6,HMR_2530
7,HMR_2505
8,HMR_2515
9,HMR_2338
10,HMR_8767
11,HMR_2244
12,HMR_0625
13,HMR_2234
14,HMR_3956
15,HMR_2630
16,HMR_2264
17,HMR_2214
18,HMR_2354
19,HMR_2209
20,HMR_2212
21,HMR_2353
22,HMR_2305
23,HMR_2349
24,HMR_2332
25,HMR_2542
26,HMR_2263
27,HMR_2399
28,HMR_2238
29,HMR_2423
30,HMR_2254
31,HMR_5034
32,HMR_2217
33,HMR_1451
34,HMR_0610
35,HMR_2533
36,HMR_2516
37,HMR_2426
38,r0941
39,HMR_2307
40,HMR_2356
41,HMR_2355
42,HMR_5078
43,HMR_9040
44,HMR_1445
45,HMR_2232
46,HMR_2213
47,HMR_9068
48,HMR_2240
49,HMR_2260
50,HMR_2315
51,HMR_2205
52,HMR_2499
53,HMR_4887
54,HMR_4333
55,HMR_2321
56,C161CRN2t
57,HMR_2243
58,HMR_2236
59,HMR_2218
60,HMR_2230
61,HMR_2417
62,HMR_0627
63,HMR_9035
64,HMR_2201
65,HMR_2364
66,HMR_2362
67,HMR_2334
68,HMR_2251
69,HMR_9039
70,HMR_2227
71,HMR_2204
72,HMR_2239
73,HMR_5029
74,HMR_2211
75,HMR_2434
76,HMR_2257
77,HMR_2401
78,HMR_9036
79,HMR_0741
80,HMR_0592
81,HMR_2231
82,HMR_2267
83,HMR_2535
84,HMR_4628
85,HMR_2229
86,HMR_2151
87,HMR_4680
88,HMR_4020
89,HMR_2311
90,C160CRNt
91,HMR_2518
92,HMR_4032
93,HMR_2524
94,HMR_2282
95,HMR_9072
96,HMR_2503
97,HMR_2403
98,HMR_2428
99,HMR_9034
100,HMR_2255
101,HMR_9063
102,HMR_4453
103,HMR_2309
104,HMR_2252
105,HMR_0738
106,HMR_2343
107,HMR_2250
108,HMR_9048
109,HMR_2242
110,HMR_2608
111,HMR_0597
112,HMR_2228
113,HMR_4483
114,HMR_9038
115,HMR_2419
116,HMR_2430
117,HMR_2350
118,HMR_2233
119,HMR_0348
120,HMR_8219
121,HMR_2246
122,HMR_2415
123,HMR_9423
124,HMR_4896
125,HMR_5071
126,HMR_2237
127,HMR_2365
128,HMR_2269
129,HMR_2348
130,HMR_2433
131,HMR_4962
132,HMR_0622
133,HMR_2342
134,HMR_2336
135,HMR_1440
136,HMR_2256
137,HMR_7588
138,HMR_2361
139,HMR_2249
140,HMR_2288
141,HMR_9062
142,HMR_5033
143,CYOOm3i
144,EX_VBOF
145,HMR_2347
146,HMR_4631
147,HMR_0736
148,HMR_2363
149,HMR_2245
150,HMR_2284
151,HMR_9044
152,HMR_2319
153,HMR_2609
154,HMR_6916
155,HMR_4343
156,HMR_4158
157,HMR_4642
158,HMR_9042
159,HMR_2235
160,HMR_4300
161,DESAT16_2
162,HMR_2219
163,HMR_2344
164,HMR_9043
165,HMR_4644
166,HMR_2522
167,HMR_4898
168,FAEL183
169,HMR_2317
170,HMR_2265
171,HMR_2289
172,HMR_2247
173,HMR_2345
174,HMR_9046
175,HMR_2258
176,HMR_2208
177,HMR_2540
178,HMR_4040
179,HMR_2261
180,HMR_2436
181,HMR_2435
182,HMR_2421
183,HMR_2259
184,HMR_2541
185,VBOF
186,HMR_2537
187,HMR_5070
188,HMR_2210
189,HMR_0638
190,HMR_2266
191,HMR_2501
192,HMR_0651
193,HMR_1448
194,HMR_0589
195,HMR_2268
196,HMR_2262
197,HMR_2543
198,HMR_0648
199,C161CPT22
200,HMR_2610
201,HMR_2248
202,HMR_2241
203,HMR_5304
204,HMR_2203
205,HMR_2215
206,HMR_2270
207,HMR_2520
