,Reaction 1,Reaction2
0,HMR_6912,HMR_5043
1,HMR_0614,HMR_0615
2,HMR_0614,HMR_0616
3,HMR_0750,HMR_0753
4,HMR_10033,HMR_10036
5,r1433,HMR_4709
6,HMR_0598,HMR_0599
7,HMR_4131,HMR_4774
8,HMR_8485,HMR_4131
9,HMR_0590,HMR_0615
10,HMR_8485,HMR_4396
11,HMR_0758,HMR_10036
12,HMR_0753,HMR_10036
13,HMR_4396,HMR_4774
14,HMR_2295,HMR_0753
15,HMR_0237,HMR_0773
16,HMR_0746,HMR_0237
17,HMR_0237,HMR_0779
18,HMR_7571,HMR_8485
19,HMR_0237,HMR_0748
20,HMR_8368,HMR_4131
21,HMR_8485,HMR_4122
22,HMR_4131,HMR_5043
23,HMR_0614,HMR_0599
24,HMR_8410,HMR_0753
25,HMR_3845,HMR_4503
26,GLDBRAN,HMR_5043
27,HMR_4131,HMR_8410
28,HMR_0590,HMR_0591
29,HMR_0758,HMR_8410
30,HMR_8410,HMR_2591
31,HMR_8368,HMR_4396
32,HMR_8410,HMR_4002
33,HMR_0773,HMR_10036
34,HMR_0264,HMR_0237
35,HMR_4130,HMR_4131
36,HMR_0959,HMR_8410
37,FACOAL40im,HMR_8410
38,HMR_5043,HMR_5401
39,HMR_0598,HMR_0591
40,HMR_5395,HMR_5043
41,HMR_4802,HMR_4418
42,HMR_5396,HMR_5043
43,HMR_4812,HMR_4418
44,HMR_4406,HMR_4418
45,HMR_8410,HMR_4418
46,HMR_4038,HMR_4418
47,HMR_4806,HMR_4418
48,HMR_4814,HMR_4418
49,HMR_4804,HMR_4418
50,HMR_4799,HMR_4418
51,HMR_4418,HMR_4808
52,HMR_1330,HMR_8410
53,HMR_2491,FAEL205
54,HMR_0746,HMR_10036
55,HMR_8410,HMR_1080
56,HMR_10036,HMR_0748
57,HMR_0779,HMR_10036
58,HMR_4418,HMR_4810
59,HMR_0746,HMR_8410
60,HMR_8410,HMR_4004
61,HMR_8410,HMR_0748
62,HMR_4375,HMR_8773
63,HMR_5043,HMR_5398
64,RE3470M,HMR_8410
65,HMR_1194,HMR_8410
66,HMR_8410,HMR_0773
67,HMR_0614,HMR_0591
68,HMR_3845,HMR_8410
69,HMR_8485,HMR_7572
70,HMR_5397,HMR_5043
71,HMR_8410,HMR_0983
72,HMR_4375,HMR_8775
73,HMR_4396,HMR_7465
74,HMR_7461,HMR_4396
75,HMR_4396,HMR_4084
76,HMR_0779,HMR_8410
77,HMR_8410,HMR_4122
78,HMR_4185,HMR_4396
79,DESAT18_3,RE3230R
80,HMR_4396,HMR_5043
81,HMR_4186,HMR_4396
82,HMR_4396,HMR_7468
83,HMR_0616,HMR_0598
84,HMR_4396,HMR_8410
85,HMR_0746,HMR_2295
86,HMR_0636,HMR_3875
87,HMR_4775,HMR_4396
88,HMR_8410,HMR_0979
89,HMR_2593,HMR_8410
90,HMR_8410,HMR_0958
91,HMR_7467,HMR_4396
92,HMR_0746,HMR_0349
93,HMR_8410,HMR_4503
94,HMR_8410,RE3470C
95,HMR_0636,HMR_4839
96,HMR_4396,HMR_7466
97,HMR_0590,HMR_0599
98,HMR_10033,HMR_0237
99,UGT1A10c,HMR_8410
100,HMR_0758,HMR_0349
101,HMR_4042,HMR_8410
102,DESAT20_1,HMR_2380
103,HMR_4185,HMR_4131
104,HMR_0779,HMR_2295
105,HMR_0409,HMR_8410
106,HMR_8410,UGT1A10r
107,HMR_0349,HMR_0748
108,HMR_1457,GRTTx
109,r1253,HMR_2170
110,HMR_0781,HMR_8410
111,HMR_2326,RE3230R
112,HMR_0753,HMR_0349
113,HMR_2328,RE3230R
114,HMR_2330,RE3230R
115,HMR_1467,DHCR71r
116,HMR_1057,HMR_8410
117,HMR_8410,HMR_0349
118,HMR_8410,HMR_5043
119,HMR_8410,HMR_1043
120,HMR_2549,HMR_8410
121,HMR_8410,HMR_1293
122,HMR_4324,HMR_8410
123,HMR_4375,HMR_8772
124,HMR_1000,HMR_8410
125,HMR_2296,HMR_0264
126,HMR_1197,HMR_8410
127,HMR_8410,RE3476M
128,HMR_8410,HMR_0963
129,HMR_1470,DHCR71r
130,HMR_1473,DHCR71r
131,HMR_4730,HMR_8410
132,HMR_1457,DMATTx
133,HMR_10033,HMR_2295
134,HMR_1457,IPDDIx
135,HMR_2295,HMR_0748
136,HMR_1081,HMR_8410
137,HMR_0932,HMR_8410
138,HMR_1310,HMR_8410
139,HMR_2296,HMR_0781
140,HMR_8410,HMR_8549
141,HMR_0264,HMR_10036
142,HMR_8410,HMR_1037
143,HMR_1995,HMR_8410
144,HMR_2544,HMR_8410
145,HMR_4326,HMR_8410
146,HMR_1048,HMR_8410
147,HMR_0781,HMR_10036
148,HMR_3984,HMR_8410
149,HMR_4718,HMR_8410
150,HMR_8547,HMR_8410
151,HMR_1100,HMR_8410
152,HMR_8410,HMR_0156
153,HMR_1465,DHCR71r
154,HMR_1288,HMR_8410
155,HMR_10033,HMR_0349
156,HMR_8410,HMR_1287
157,HMR_2557,HMR_8410
158,HMR_8410,HMR_1290
159,HMR_8410,HMR_1186
160,HMR_0779,HMR_0349
161,HMR_4336,HMR_8410
162,HMR_8410,HMR_1099
163,HMR_8410,HMR_2579
164,HMR_1105,HMR_8410
165,HMR_2572,HMR_8410
166,HMR_8410,HMR_0998
167,HMR_8410,HMR_1198
168,HMR_0943,HMR_8410
169,HMR_8410,HMR_1292
170,HMR_1109,HMR_8410
171,HMR_8410,HMR_1289
172,HMR_8410,HMR_1341
173,HMR_8410,HMR_1149
174,HMR_1103,HMR_8410
175,HMR_1033,HMR_8410
176,HMR_0951,HMR_8410
177,HMR_0779,HMR_0192
178,HMR_0590,HMR_0616
179,HMR_2296,HMR_0779
180,HMR_4338,HMR_8758
181,HMR_8410,HMR_4412
182,HMR_4131,HMR_7468
183,HMR_2324,RE3230R
184,HMR_1150,HMR_8410
185,HMR_0953,HMR_8410
186,HMR_8410,HMR_0947
187,HMR_0944,HMR_8410
188,HMR_8410,HMR_2555
189,HMR_1192,HMR_8410
190,HMR_0931,HMR_8410
191,HMR_2577,HMR_8410
192,HMR_8410,HMR_1153
193,HMR_8410,HMR_8556
194,HMR_8410,HMR_0945
195,HMR_8410,HMR_0957
196,HMR_1294,HMR_8410
197,HMR_0960,HMR_8410
198,HMR_2551,HMR_8410
199,HMR_2571,HMR_8410
200,HMR_1049,HMR_8410
201,HMR_8410,HMR_0999
202,HMR_1944,HMR_8410
203,HMR_0991,HMR_8410
204,HMR_1002,HMR_8410
205,HMR_8410,HMR_1373
206,HMR_8410,HMR_1389
207,HMR_8410,HMR_2582
208,HMR_1041,HMR_8410
209,HMR_8410,HMR_1014
210,HMR_0971,HMR_8410
211,HMR_1345,HMR_8410
212,HMR_8410,HMR_1247
213,HMR_8410,HMR_1258
214,HMR_8410,HMR_1026
215,HMR_8410,HMR_1022
216,HMR_8410,HMR_1042
217,HMR_8410,HMR_1334
218,HMR_8410,HMR_1066
219,HMR_8410,HMR_1070
220,HMR_8410,HMR_1039
221,HMR_8410,HMR_1200
222,HMR_8410,HMR_1279
223,HMR_8410,HMR_1058
224,HMR_8410,HMR_1996
225,HMR_8410,HMR_8545
226,HMR_8410,HMR_1074
227,HMR_8410,arachidonates
228,HMR_8410,HMR_2459
229,HMR_8410,HMR_1071
230,HMR_8410,HMR_8554
231,HMR_8410,HMR_1110
232,HMR_0936,HMR_8410
233,HMR_1092,HMR_8410
234,HMR_2467,HMR_8410
235,HMR_8410,HMR_1121
236,HMR_8410,HMR_2456
237,HMR_0985,HMR_8410
238,HMR_1147,HMR_8410
239,HMR_1384,HMR_8410
240,HMR_1146,HMR_8410
241,HMR_8410,HMR_2464
242,HMR_1123,HMR_8410
243,HMR_8410,HMR_2546
244,HMR_8410,HMR_1139
245,HMR_8410,HMR_1388
246,HMR_1379,HMR_8410
247,HMR_8410,HMR_1148
248,HMR_8410,HMR_2563
249,HMR_2470,HMR_8410
250,HMR_1119,HMR_8410
251,HMR_1154,HMR_8410
252,HMR_1152,HMR_8410
253,HMR_1156,HMR_8410
254,HMR_8410,HMR_0992
255,HMR_1398,HMR_8410
256,HMR_8410,HMR_1151
257,HMR_8410,HMR_2558
258,HMR_8410,HMR_2553
259,HMR_8410,HMR_1342
260,HMR_8410,HMR_1007
261,HMR_8410,HMR_1336
262,HMR_1050,HMR_8410
263,HMR_0996,HMR_8410
264,HMR_8410,HMR_1988
265,HMR_8410,HMR_0986
266,HMR_8410,HMR_2458
267,HMR_6394,HMR_8410
268,HMR_2586,HMR_8410
269,HMR_1034,HMR_8410
