,Reaction 1,Reaction 2,fba_simulation
0,HMR_6912,HMR_5043,2.0359220115642405
1,HMR_0614,HMR_0615,2.0359220115642405
2,HMR_0614,HMR_0616,2.0359220115642405
3,HMR_10033,HMR_10036,2.0359220115642405
4,r1433,HMR_4709,2.0359220115642405
5,HMR_4131,HMR_4774,2.0359220115642405
6,HMR_8485,HMR_4131,2.0359220115642405
7,HMR_0590,HMR_0615,2.0359220115642405
8,HMR_2295,HMR_0753,2.0359220115642693
9,HMR_0237,HMR_0773,2.0359220115642405
10,HMR_0746,HMR_0237,2.0359220115642405
11,HMR_0237,HMR_0779,2.0359220115642405
12,HMR_7571,HMR_8485,2.0359220115642405
13,HMR_0237,HMR_0748,2.0359220115642405
14,HMR_8368,HMR_4131,2.0359220115642405
15,HMR_4131,HMR_5043,2.0359220115642405
16,HMR_0614,HMR_0599,2.0359220115641246
17,HMR_8410,HMR_0753,2.0359220115641246
18,HMR_3845,HMR_4503,2.0359220115642405
19,GLDBRAN,HMR_5043,2.0359220115642405
20,HMR_4131,HMR_8410,2.0359220115642405
21,HMR_0590,HMR_0591,2.0359220115642405
22,HMR_0758,HMR_8410,2.0359220115642405
23,HMR_8410,HMR_2591,2.0359220115642405
24,HMR_8410,HMR_4002,2.0359220115642405
25,HMR_0773,HMR_10036,2.035922011571646
26,HMR_0264,HMR_0237,2.0359220115648924
27,HMR_4130,HMR_4131,2.0359220115648924
28,HMR_0959,HMR_8410,2.0359220115648924
29,FACOAL40im,HMR_8410,2.0359220115648924
30,HMR_5043,HMR_5401,2.0359220115637777
31,HMR_5395,HMR_5043,2.0359220115642405
32,HMR_4802,HMR_4418,2.0359220115642405
33,HMR_5396,HMR_5043,2.0359220115642405
34,HMR_4812,HMR_4418,2.0359220115642405
35,HMR_4406,HMR_4418,2.0359220115642405
36,HMR_8410,HMR_4418,2.0359220115642405
37,HMR_4038,HMR_4418,2.0359220115642405
38,HMR_4806,HMR_4418,2.0359220115642405
39,HMR_4814,HMR_4418,2.0359220115642405
40,HMR_4804,HMR_4418,2.0359220115642405
41,HMR_4799,HMR_4418,2.0359220115642405
42,HMR_4418,HMR_4808,2.0359220115642405
43,HMR_1330,HMR_8410,2.0359220115642405
44,HMR_2491,FAEL205,2.0359220115642405
45,HMR_0746,HMR_10036,2.0359220115637777
46,HMR_8410,HMR_1080,2.0359220115637777
47,HMR_10036,HMR_0748,2.0359220115637777
48,HMR_0779,HMR_10036,2.0359220115637777
49,HMR_4418,HMR_4810,2.0359220115637777
50,HMR_0746,HMR_8410,2.0359220115637777
51,HMR_8410,HMR_4004,2.0359220115630117
52,HMR_8410,HMR_0748,2.0359220115630117
53,HMR_4375,HMR_8773,2.0359220115642405
54,HMR_5043,HMR_5398,2.0359220115637777
55,RE3470M,HMR_8410,2.0359220115637777
56,HMR_1194,HMR_8410,2.0359220115637777
57,HMR_8410,HMR_0773,2.0359220115637777
58,HMR_0614,HMR_0591,2.0359220115637777
59,HMR_3845,HMR_8410,2.0359220115637777
60,HMR_8485,HMR_7572,2.0359220115637777
61,HMR_5397,HMR_5043,2.0359220115637777
62,HMR_8410,HMR_0983,2.0359220115637777
63,HMR_4375,HMR_8775,2.0359220115637777
64,HMR_0779,HMR_8410,2.0359220115642405
65,DESAT18_3,RE3230R,2.0359220115642422
66,HMR_0746,HMR_2295,2.0359220115642405
67,HMR_8410,HMR_0979,2.0359220115623824
68,HMR_2593,HMR_8410,2.0359220115642405
69,HMR_8410,HMR_0958,2.0359220115642405
70,HMR_0746,HMR_0349,2.0359220115647334
71,HMR_8410,HMR_4503,2.03592201156483
72,HMR_8410,RE3470C,2.03592201156483
73,HMR_0636,HMR_4839,2.0359220115638967
74,HMR_0590,HMR_0599,2.0359220115637777
75,UGT1A10c,HMR_8410,2.0359220115642405
76,DESAT20_1,HMR_2380,2.0359220115642334
77,HMR_4185,HMR_4131,2.0359220115642334
78,HMR_0779,HMR_2295,2.0359220115642405
