,Reaction 1,Reaction2
0,HMR_4579,HMR_3969
1,HMR_10036,HMR_10033
2,HMR_6612,DTMPKm
3,HMR_6615,DTMPKm
4,HMR_7886,DTMPKm
5,HMR_4812,HMR_4418
6,HMR_2178,HMR_2982
7,HMR_2862,HMR_2178
8,HMR_2162,r1253
9,HMR_2157,HMR_2982
10,HMR_2862,HMR_2157
11,HMR_2157,r1253
12,HMR_2862,HMR_2162
13,HMR_2862,HMR_2170
14,HMR_2170,r1253
15,HMR_2170,HMR_2982
16,HMR_2178,r1253
17,HMR_2982,HMR_2173
18,HMR_2862,HMR_2158
19,HMR_2162,HMR_2982
20,HMR_2862,HMR_2166
21,HMR_2982,HMR_2158
22,HMR_2158,r1253
23,HMR_2166,HMR_2982
24,HMR_2166,r1253
25,HMR_5130,HMR_2602
26,HMR_5146,HMR_10036
27,HMR_5146,HMR_2633
28,HMR_4527,HMR_8767
29,HMR_0589,HMR_3875
30,HMR_10036,HMR_5142
31,HMR_5130,HMR_2633
32,HMR_2633,HMR_5141
33,DPMVDx,HMR_1440
34,HMR_4627,HMR_0636
35,HMR_2161,r1253
36,HMR_3877,HMR_0589
37,HMR_4453,HMR_4046
38,HMR_10036,HMR_5141
39,HMR_4839,HMR_0636
40,HMR_2161,HMR_2862
41,HMR_3877,HMR_0636
42,HMR_2633,HMR_5142
43,HMR_2862,HMR_2154
44,HMR_2161,HMR_2982
45,HMR_2982,HMR_2154
46,MEVK1x,HMR_1440
47,HMR_2982,r1317
48,HMR_4630,HMR_1440
49,HMR_0773,HMR_0589
50,r1317,r1253
51,HMR_0758,HMR_10036
52,HMR_0773,HMR_0636
53,HMR_2862,r1317
54,HMR_2423,RE3161R
55,HMR_2417,HMR_2785
56,HMR_2785,HMR_2478
57,HMR_2599,HMR_2478
58,HMR_1448,PMEVKx
59,RE3110R,HMR_2478
60,HMR_2281,HMR_0200
61,HMR_2814,HMR_10036
62,HMR_3662,HMR_10036
63,HMR_10036,HMR_2903
64,HMR_3641,HMR_10036
65,HMR_10036,HMR_3653
66,HMR_3563,HMR_10036
67,HMR_10036,HMR_2796
68,HMR_10036,HMR_2874
69,HMR_3572,HMR_10036
70,HMR_10036,HMR_2798
71,HMR_3591,HMR_10036
72,HMR_3567,HMR_10036
73,HMR_10036,HMR_2924
74,HMR_10036,HMR_3565
75,HMR_10036,HMR_3643
76,HMR_10036,HMR_3544
77,HMR_10036,HMR_3548
78,HMR_10036,HMR_3561
79,HMR_2282,HMR_2618
80,HMR_2282,HMR_3252
81,HMR_10036,HMR_2809
82,HMR_10036,HMR_3627
83,RE3164R,HMR_2430
84,HMR_10036,HMR_2824
85,HMR_3570,HMR_10036
86,HMR_3550,HMR_10036
87,HMR_10036,HMR_2816
88,HMR_2930,HMR_10036
89,HMR_10036,HMR_3542
90,HMR_10036,HMR_2872
91,HMR_3558,HMR_10036
92,HMR_10036,HMR_3539
93,HMR_10036,HMR_3549
94,HMR_10036,HMR_2836
95,HMR_10036,HMR_2822
96,HMR_10036,HMR_3596
97,HMR_3584,HMR_10036
98,HMR_2848,HMR_10036
99,HMR_2862,HMR_10036
100,HMR_2282,HMR_3256
101,HMR_10036,HMR_3580
102,HMR_10036,HMR_3571
103,HMR_10036,HMR_3543
104,HMR_3250,HMR_2282
105,HMR_10036,HMR_3674
106,HMR_10036,HMR_3666
107,HMR_10036,HMR_5131
108,HMR_10036,HMR_2908
109,HMR_3553,HMR_10036
110,HMR_10036,HMR_3585
111,HMR_2806,HMR_10036
112,HMR_10036,HMR_3573
