,Reaction 1,Reaction 2,fba_simulation
0,HMR_3969,HMR_4579,2.0359220115642405
1,HMR_10033,HMR_10036,2.0359220115642405
2,DTMPKm,HMR_6612,2.0359220115642405
3,DTMPKm,HMR_6615,2.0359220115642405
4,DTMPKm,HMR_7886,2.0359220115642405
5,HMR_4812,HMR_4418,2.0359220115642405
6,HMR_2178,HMR_2982,2.0359220115642405
7,HMR_2178,HMR_2862,2.0359220115642405
8,r1253,HMR_2162,2.0359220115642405
9,HMR_2157,HMR_2982,2.0359220115642405
10,HMR_2157,HMR_2862,2.0359220115642405
11,r1253,HMR_2157,2.0359220115642405
12,HMR_2162,HMR_2862,2.0359220115642405
13,HMR_2862,HMR_2170,2.0359220115642405
14,r1253,HMR_2170,2.0359220115642405
15,HMR_2982,HMR_2170,2.0359220115642405
16,r1253,HMR_2178,2.0359220115642405
17,HMR_2173,HMR_2982,2.0359220115642405
18,HMR_2862,HMR_2158,2.0359220115642405
19,HMR_2162,HMR_2982,2.0359220115642405
20,HMR_2166,HMR_2862,2.0359220115642405
21,HMR_2982,HMR_2158,2.0359220115642405
22,r1253,HMR_2158,2.0359220115642405
23,HMR_2166,HMR_2982,2.0359220115642405
24,HMR_2166,r1253,2.0359220115642405
25,HMR_8767,HMR_4527,2.0359220115642405
26,HMR_1440,DPMVDx,2.0359220115642405
27,HMR_4627,HMR_0636,2.035922011564237
28,r1253,HMR_2161,2.0359220115642405
29,HMR_3877,HMR_0589,2.0359220115642405
30,HMR_0636,HMR_4839,2.0359220115642405
31,HMR_2862,HMR_2161,2.0359220115642405
32,HMR_3877,HMR_0636,2.0204756211735093
33,HMR_2154,HMR_2862,2.03592201156424
34,HMR_2982,HMR_2161,2.0359220115642405
35,HMR_2154,HMR_2982,2.0359220115642405
36,HMR_1440,MEVK1x,2.0359220115642405
37,r1317,HMR_2982,2.0359220115642405
38,HMR_0589,HMR_0773,2.0359220115642405
39,r1253,r1317,2.0359220115637777
40,HMR_0636,HMR_0773,2.0359220115642405
41,r1317,HMR_2862,2.0359220115642405
42,HMR_2785,HMR_2478,2.03592201156424
43,HMR_2599,HMR_2478,2.03592201156424
44,HMR_2478,RE3110R,2.0359220115637764
45,HMR_0200,HMR_2281,2.0359220115642405
46,HMR_10036,HMR_2814,2.0359220115642405
47,HMR_3662,HMR_10036,2.0359220115642405
48,HMR_10036,HMR_2903,2.0359220115642405
49,HMR_3641,HMR_10036,2.0359220115642405
50,HMR_3653,HMR_10036,2.0359220115642405
51,HMR_3563,HMR_10036,2.0359220115642405
52,HMR_2796,HMR_10036,2.0359220115642405
53,HMR_2874,HMR_10036,2.0359220115642405
54,HMR_3572,HMR_10036,2.0359220115642405
55,HMR_2798,HMR_10036,2.0359220115642405
56,HMR_10036,HMR_3591,2.0359220115642405
57,HMR_3567,HMR_10036,2.0359220115642405
58,HMR_2924,HMR_10036,2.0359220115642405
59,HMR_3565,HMR_10036,2.0359220115642405
60,HMR_3643,HMR_10036,2.0359220115642405
61,HMR_3544,HMR_10036,2.0359220115642405
62,HMR_3548,HMR_10036,2.0359220115642405
63,HMR_3561,HMR_10036,2.0359220115642405
64,HMR_2809,HMR_10036,2.0359220115637777
65,HMR_3627,HMR_10036,2.0359220115637777
66,HMR_2824,HMR_10036,2.0359220115642405
67,HMR_3570,HMR_10036,2.0359220115642405
68,HMR_3550,HMR_10036,2.0359220115642405
69,HMR_2816,HMR_10036,2.0359220115642405
70,HMR_10036,HMR_2930,2.0359220115642405
71,HMR_3542,HMR_10036,2.0359220115642405
72,HMR_2872,HMR_10036,2.0359220115642405
73,HMR_3558,HMR_10036,2.0359220115642405
74,HMR_3539,HMR_10036,2.0359220115642405
75,HMR_3549,HMR_10036,2.0359220115642405
76,HMR_2836,HMR_10036,2.0359220115642405
77,HMR_2822,HMR_10036,2.0359220115642405
78,HMR_3596,HMR_10036,2.0359220115642405
79,HMR_3584,HMR_10036,2.0359220115642405
80,HMR_2848,HMR_10036,2.0359220115642405
81,HMR_2862,HMR_10036,2.0359220115642405
82,HMR_3580,HMR_10036,2.0359220115637777
83,HMR_3571,HMR_10036,2.0359220115637777
84,HMR_3543,HMR_10036,2.0359220115637777
85,HMR_3674,HMR_10036,2.03592201156424
86,HMR_3666,HMR_10036,2.03592201156424
87,HMR_2908,HMR_10036,2.0359220115721097
88,HMR_3553,HMR_10036,2.03592201156424
89,HMR_3585,HMR_10036,2.03592201156424
90,HMR_2806,HMR_10036,2.03592201156424
91,HMR_10036,HMR_3573,2.03592201156424
92,HMR_2838,HMR_10036,2.03592201156424
93,HMR_2920,HMR_10036,2.03592201156424
94,HMR_2856,HMR_10036,2.03592201156424
95,HMR_2918,HMR_10036,2.03592201156424
96,HMR_3546,HMR_10036,2.03592201156424
97,HMR_3560,HMR_10036,2.03592201156424
98,HMR_2850,HMR_10036,2.03592201156424
99,HMR_2792,HMR_10036,2.03592201156424
100,HMR_1454,IPDDIx,2.0359220115642405
